T,TM,Tm,H,VV,V,VM,PM 2.5
13.5,17.0,11.0,85.0,1.1,11.3,16.5,246.0
13.3,17.0,10.0,84.0,1.3,11.7,18.3,247.0
11.9,17.0,9.0,88.0,1.0,7.6,14.8,195.0
13.1,15.0,11.0,88.0,0.8,4.1,13.0,190.0
11.8,17.0,8.0,84.0,0.8,10.7,16.5,194.0
13.0,20.0,6.0,70.0,1.9,7.2,20.6,228.0
15.7,22.0,9.0,68.0,1.6,9.8,14.8,280.0
17.3,23.0,12.0,70.0,1.8,15.6,24.1,223.0
15.6,22.0,10.0,82.0,1.4,13.5,22.2,196.0
17.1,24.0,10.0,58.0,1.9,3.7,11.1,290.0
17.4,23.0,11.0,53.0,2.3,8.9,61.1,224.0
16.8,24.0,10.0,62.0,2.1,10.0,18.3,193.0
17.3,25.0,9.0,55.0,2.6,8.0,22.2,269.0
20.5,27.0,12.0,52.0,2.6,8.1,18.3,305.0
19.4,27.0,12.0,60.0,1.4,7.0,16.5,567.0
24.1,29.0,20.0,66.0,1.9,15.9,22.2,238.0
22.8,29.0,18.0,63.0,1.9,10.2,20.6,204.0
21.3,27.0,16.0,59.0,2.3,13.0,22.2,183.0
22.7,28.0,16.0,58.0,2.1,10.4,14.8,198.0
19.6,27.0,14.0,36.0,2.7,9.4,18.3,181.0
19.7,27.0,12.0,38.0,2.9,9.1,16.5,163.0
16.9,19.0,15.0,94.0,2.3,17.6,27.8,0.0
17.0,22.0,14.0,84.0,2.3,9.1,24.1,108.0
16.4,21.0,12.0,77.0,1.9,8.7,16.5,155.0
18.3,26.0,14.0,73.0,2.4,7.0,20.6,129.0
19.2,24.0,15.0,70.0,3.1,12.8,20.6,116.0
17.3,23.0,10.0,51.0,3.2,14.1,18.3,142.0
22.4,28.0,15.0,48.0,1.6,6.3,11.1,203.0
21.2,27.0,17.0,63.0,2.9,9.4,18.3,131.0
17.0,20.0,15.0,77.0,3.1,12.0,18.3,63.0
21.2,29.0,15.0,55.0,2.9,6.9,20.6,155.0
22.8,30.0,15.0,51.0,2.7,7.4,18.3,167.0
24.9,31.0,17.0,51.0,2.9,11.1,16.5,173.0
28.0,34.0,21.0,48.0,2.3,5.7,14.8,214.0
28.8,36.0,20.0,43.0,2.6,9.4,25.9,207.0
28.7,35.0,21.0,39.0,3.5,9.3,18.3,143.0
25.2,31.0,20.0,61.0,2.7,7.6,14.8,127.0
27.5,33.0,20.0,48.0,2.9,8.3,14.8,174.0
27.3,34.0,20.0,46.0,3.4,12.6,22.2,143.0
24.2,29.0,18.0,71.0,4.0,10.6,18.3,111.0
23.3,29.0,20.0,62.0,3.1,9.3,18.3,125.0
27.1,33.0,20.0,41.0,3.2,9.4,14.8,161.0
26.0,32.0,19.0,44.0,3.2,9.6,18.3,139.0
25.2,30.0,19.0,59.0,3.2,10.7,22.2,133.0
26.7,32.0,22.0,53.0,2.9,8.0,18.3,141.0
27.9,34.0,22.0,52.0,2.7,8.3,16.5,142.0
33.3,41.0,22.0,29.0,2.4,6.3,13.0,222.0
33.3,39.0,26.0,32.0,2.4,11.1,18.3,193.0
31.6,39.0,24.0,28.0,2.9,9.6,18.3,179.0
30.9,36.0,25.0,34.0,2.1,16.9,24.1,175.0
28.9,33.0,24.0,43.0,2.7,16.7,27.8,131.0
31.1,37.0,25.0,41.0,2.7,17.2,25.9,148.0
31.5,39.0,24.0,36.0,3.5,9.8,20.6,138.0
31.3,39.0,24.0,30.0,3.2,6.1,16.5,144.0
31.6,41.0,23.0,26.0,2.4,5.7,14.8,206.0
35.3,43.0,27.0,16.0,2.9,12.2,18.3,178.0
34.7,43.0,27.0,19.0,2.4,8.7,22.2,179.0
35.9,42.0,27.0,19.0,2.6,7.4,14.8,176.0
26.9,34.0,23.0,60.0,2.9,10.2,18.3,160.0
31.0,37.0,24.0,43.0,2.9,5.7,14.8,165.0
29.0,37.0,23.0,49.0,2.6,7.8,18.3,181.0
31.6,42.0,23.0,40.0,2.7,12.4,37.0,162.0
33.4,43.0,22.0,31.0,2.6,12.2,22.2,156.0
36.1,45.0,28.0,24.0,2.9,10.0,20.6,163.0
38.8,45.0,31.0,14.0,2.6,11.9,22.2,178.0
37.9,46.0,28.0,14.0,3.1,12.2,22.2,182.0
36.2,44.0,27.0,13.0,2.7,9.6,22.2,160.0
35.5,41.0,28.0,22.0,2.6,15.4,27.8,186.0
30.7,36.0,27.0,32.0,2.7,13.9,22.2,131.0
31.7,41.0,26.0,33.0,2.9,10.4,18.3,89.0
28.1,33.0,24.0,51.0,2.9,12.4,27.8,173.0
36.7,43.0,30.0,28.0,3.4,7.6,16.5,199.0
38.1,44.0,30.0,22.0,3.5,7.6,18.3,132.0
37.1,43.0,32.0,26.0,3.1,16.3,31.7,0.0
30.2,39.0,24.0,52.0,2.6,14.1,22.2,147.0
27.3,33.0,22.0,72.0,2.4,7.4,14.8,147.0
31.6,37.0,27.0,57.0,2.4,5.9,16.5,170.0
36.7,42.0,32.0,43.0,3.2,12.6,20.6,182.0
33.3,38.0,29.0,48.0,3.4,15.4,22.2,155.0
30.1,35.0,25.0,67.0,3.4,13.3,37.0,82.0
26.7,30.0,23.0,83.0,2.1,8.9,16.5,132.0
31.2,39.0,26.0,58.0,2.6,13.1,20.6,143.0
32.4,38.0,28.0,54.0,3.1,13.1,24.1,154.0
31.4,37.0,27.0,56.0,3.2,8.7,22.2,132.0
33.6,39.0,28.0,47.0,3.4,10.6,20.6,135.0
32.1,41.0,27.0,54.0,3.4,13.9,33.5,151.0
28.0,33.0,25.0,83.0,1.6,6.9,14.8,137.0
30.7,35.0,27.0,70.0,2.4,8.0,16.5,151.0
28.8,33.0,26.0,82.0,1.8,7.2,14.8,138.0
29.7,33.0,25.0,73.0,3.5,7.0,11.1,107.0
30.6,36.0,28.0,73.0,3.7,10.9,18.3,123.0
32.8,37.0,29.0,60.0,4.2,14.8,24.1,148.0
29.2,33.0,26.0,76.0,2.9,4.6,14.8,167.0
28.6,32.0,25.0,81.0,2.6,8.3,16.5,129.0
30.8,35.0,27.0,76.0,3.4,10.2,14.8,117.0
31.2,35.0,28.0,73.0,2.4,13.1,20.6,122.0
29.6,32.0,26.0,75.0,2.9,18.0,22.2,87.0
29.2,33.0,26.0,74.0,3.5,15.0,22.2,70.0
28.8,31.0,26.0,75.0,2.4,8.9,14.8,104.0
27.7,31.0,25.0,81.0,2.7,5.9,14.8,109.0
28.8,33.0,26.0,78.0,3.1,5.9,20.6,120.0
30.2,35.0,26.0,71.0,3.5,10.2,14.8,123.0
29.0,34.0,26.0,83.0,2.1,7.2,16.5,139.0
29.3,32.0,27.0,83.0,1.3,7.6,14.8,158.0
27.1,29.0,26.0,93.0,1.0,7.8,13.0,135.0
31.6,35.0,28.0,71.0,3.2,5.6,13.0,153.0
30.2,33.0,28.0,81.0,3.1,6.7,11.1,146.0
27.8,31.0,26.0,91.0,2.6,6.3,14.8,118.0
30.4,35.0,26.0,72.0,3.5,13.1,22.2,80.0
30.1,34.0,27.0,70.0,3.7,14.3,22.2,77.0
29.6,33.0,27.0,74.0,3.4,10.9,18.3,117.0
31.4,36.0,26.0,65.0,3.5,13.7,22.2,152.0
31.4,35.0,27.0,66.0,4.0,10.9,22.2,134.0
31.9,36.0,27.0,63.0,3.2,9.4,14.8,141.0
31.0,35.0,27.0,61.0,4.0,12.8,18.3,139.0
31.3,35.0,27.0,56.0,3.5,13.3,22.2,158.0
30.4,34.0,27.0,57.0,3.2,12.8,24.1,180.0
30.7,34.0,26.0,56.0,3.1,8.0,22.2,176.0
31.2,36.0,25.0,48.0,4.0,9.3,22.2,109.0
30.6,36.0,25.0,56.0,3.7,12.2,20.6,143.0
30.9,36.0,24.0,53.0,3.5,13.5,63.0,134.0
31.9,37.0,26.0,56.0,2.9,5.7,11.1,0.0
32.2,37.0,27.0,53.0,2.4,7.0,20.6,182.0
32.4,37.0,27.0,58.0,2.7,6.7,11.1,167.0
29.9,35.0,26.0,79.0,2.1,8.5,14.8,158.0
29.9,36.0,26.0,69.0,3.1,10.7,16.5,76.0
29.6,35.0,26.0,69.0,3.4,9.1,16.5,114.0
28.7,35.0,23.0,51.0,4.2,8.3,20.6,141.0
29.4,35.0,25.0,54.0,3.5,8.5,18.3,158.0
29.3,34.0,25.0,58.0,3.5,8.5,16.5,0.0
27.8,35.0,21.0,53.0,4.2,6.3,14.8,149.0
28.1,35.0,21.0,50.0,3.5,7.0,14.8,172.0
29.1,36.0,21.0,52.0,3.7,6.3,16.5,215.0
29.0,34.0,22.0,58.0,2.6,9.1,22.2,200.0
29.5,35.0,23.0,48.0,3.4,7.2,18.3,178.0
29.1,35.0,22.0,45.0,3.4,6.5,22.2,176.0
29.3,35.0,24.0,63.0,2.9,8.9,14.8,182.0
27.4,34.0,21.0,63.0,2.9,7.4,20.6,163.0
28.1,34.0,22.0,57.0,2.9,5.9,13.0,174.0
29.4,36.0,23.0,51.0,2.1,6.1,13.0,174.0
30.3,36.0,24.0,45.0,2.4,6.3,14.8,197.0
27.1,33.0,20.0,47.0,2.1,7.4,13.0,257.0
27.0,33.0,20.0,41.0,2.6,13.3,18.3,205.0
25.4,31.0,21.0,47.0,3.2,8.9,22.2,182.0
24.9,31.0,19.0,50.0,2.7,5.6,13.0,182.0
23.1,29.0,17.0,59.0,1.0,2.8,11.1,334.0
24.4,30.0,19.0,52.0,1.6,3.1,11.1,336.0
24.9,31.0,18.0,54.0,1.8,3.0,7.6,252.0
24.9,30.0,19.0,51.0,1.3,3.3,9.4,294.0
21.9,27.0,16.0,69.0,0.6,5.6,11.1,366.0
22.7,28.0,19.0,59.0,1.4,8.1,14.8,278.0
24.4,29.0,19.0,52.0,1.6,7.2,11.1,276.0
22.9,29.0,17.0,56.0,1.0,8.0,18.3,366.0
22.9,29.0,17.0,57.0,1.4,6.9,14.8,292.0
24.0,32.0,17.0,46.0,1.6,2.4,11.1,281.0
19.2,27.0,12.0,49.0,1.3,3.0,13.0,328.0
18.8,27.0,12.0,57.0,1.0,2.6,11.1,324.0
19.5,27.0,13.0,55.0,1.3,1.9,7.6,302.0
19.4,27.0,13.0,50.0,2.4,8.5,22.2,230.0
20.3,28.0,13.0,46.0,2.4,5.7,14.8,267.0
18.1,22.0,12.0,66.0,1.6,5.2,16.5,248.0
19.4,26.0,14.0,74.0,0.8,3.7,9.4,252.0
18.6,25.0,14.0,60.0,1.1,3.3,11.1,260.0
17.3,24.0,12.0,71.0,0.6,8.7,18.3,265.0
18.7,26.0,13.0,70.0,0.8,4.8,13.0,310.0
19.2,26.0,14.0,66.0,1.0,3.3,11.1,300.0
